"","X","year","month","yearmon","Number.of.Homicide.Convictions","Number.of.Homicide.Unsuccessful","Number.of.Offences.Against.The.Person.Convictions","Number.of.Offences.Against.The.Person.Unsuccessful","Number.of.Sexual.Offences.Convictions","Number.of.Sexual.Offences.Unsuccessful","Number.of.Burglary.Convictions","Number.of.Burglary.Unsuccessful","Number.of.Robbery.Convictions","Number.of.Robbery.Unsuccessful","Number.of.Theft.And.Handling.Convictions","Number.of.Theft.And.Handling.Unsuccessful","Number.of.Fraud.And.Forgery.Convictions","Number.of.Fraud.And.Forgery.Unsuccessful","Number.of.Criminal.Damage.Convictions","Number.of.Criminal.Damage.Unsuccessful","Number.of.Drugs.Offences.Convictions","Number.of.Drugs.Offences.Unsuccessful","Number.of.Public.Order.Offences.Convictions","Number.of.Public.Order.Offences.Unsuccessful","Number.of.All.Other.Offences..excluding.Motoring..Convictions","Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Number.of.Motoring.Offences.Convictions","Number.of.Motoring.Offences.Unsuccessful","Number.of.Admin.Finalised.Unsuccessful"
"37","Sussex","2014","april",2014-04-01,0,0,"171","42","15",8,"35",5,7,0,"190","17","14",5,"36",6,"80",4,"72",13,"74",28,"161","19","17"
"38","Thames Valley","2014","april",2014-04-01,9,0,"214","114","26",10,"40",6,10,6,"296","24","15",3,"51",11,"122",9,"105",20,"32",10,"280","32","40"
"39","Warwickshire","2014","april",2014-04-01,0,0,"35","11","7",1,"10",0,1,0,"76","3","1",0,"10",2,"18",1,"15",4,"32",3,"154","16","0"
"40","West Mercia","2014","april",2014-04-01,1,1,"156","42","24",4,"14",3,5,1,"169","12","5",0,"47",4,"55",1,"66",10,"49",6,"198","25","3"
"41","West Midlands","2014","april",2014-04-01,6,3,"413","223","28",9,"90",19,55,16,"558","47","35",1,"109",22,"226",18,"116",33,"164",42,"304","49","16"
"42","West Yorkshire","2014","april",2014-04-01,1,0,"420","128","40",8,"78",19,30,2,"505","34","22",3,"86",19,"173",8,"116",29,"52",10,"297","52","35"
"43","Wiltshire","2014","april",2014-04-01,1,0,"74","24","9",4,"6",0,3,0,"90","7","4",1,"26",5,"25",0,"22",5,"13",2,"79","13","10"
"345","National","2014","may",2014-05-01,69,17,"8,178","2,684","721",310,"1,562",267,532,164,"10,146","1,017","754",127,"2,403",406,"4,510",312,"4,022",711,"2,753",510,"8,615","1,446","726"
"346","Avon and Somerset","2014","may",2014-05-01,1,0,"210","55","29",17,"38",6,8,0,"287","19","24",1,"63",14,"116",5,"65",14,"91",16,"141","57","15"
"347","Bedfordshire","2014","may",2014-05-01,1,0,"69","33","8",2,"5",2,6,1,"82","15","8",1,"16",5,"25",3,"27",7,"13",5,"63","11","21"
"348","Cambridgeshire","2014","may",2014-05-01,0,0,"73","24","5",1,"16",1,4,0,"106","7","10",3,"25",4,"39",1,"26",6,"24",0,"74","10","5"
"349","Cheshire","2014","may",2014-05-01,1,0,"167","32","10",1,"34",2,0,1,"194","10","9",2,"40",4,"73",7,"60",4,"61",4,"154","16","19"
"350","Cleveland","2014","may",2014-05-01,1,0,"99","44","7",3,"33",6,5,0,"219","32","8",3,"46",11,"67",8,"114",32,"12",5,"97","23","3"
"351","Cumbria","2014","may",2014-05-01,0,0,"67","17","8",1,"14",0,0,0,"86","6","2",1,"32",3,"49",0,"25",1,"75",3,"71","10","8"
"352","Derbyshire","2014","may",2014-05-01,0,0,"142","44","13",4,"22",1,12,7,"210","29","11",1,"42",1,"74",7,"60",8,"37",13,"132","18","7"
"353","Devon and Cornwall","2014","may",2014-05-01,1,0,"171","54","11",4,"28",2,3,0,"154","18","9",2,"57",7,"80",3,"62",11,"92",12,"193","18","9"
"354","Dorset","2014","may",2014-05-01,0,0,"118","26","11",7,"15",9,0,0,"170","12","6",0,"36",6,"41",2,"70",4,"19",9,"93","19","11"
"355","Durham","2014","may",2014-05-01,0,0,"93","24","8",5,"20",7,7,0,"156","23","12",2,"41",3,"22",2,"82",10,"18",2,"80","15","2"
"356","Dyfed Powys","2014","may",2014-05-01,0,0,"86","13","4",2,"8",0,2,0,"36","3","2",0,"23",6,"85",1,"49",6,"18",2,"178","13","3"
"357","Essex","2014","may",2014-05-01,2,0,"256","70","16",7,"40",5,11,1,"289","15","17",3,"71",7,"88",1,"71",13,"108",8,"204","23","11"
"358","Gloucestershire","2014","may",2014-05-01,0,0,"41","9","3",0,"13",1,3,0,"76","4","5",0,"24",2,"33",0,"16",2,"7",4,"41","6","18"
"359","GreaterManchester","2014","may",2014-05-01,0,0,"474","145","41",20,"79",15,40,5,"515","32","45",2,"171",19,"199",14,"291",32,"137",24,"387","70","51"
"360","Gwent","2014","may",2014-05-01,0,0,"77","31","10",4,"28",4,5,0,"96","10","9",0,"28",2,"55",4,"50",9,"29",11,"82","8","4"
"361","Hampshire","2014","may",2014-05-01,0,0,"351","120","19",11,"50",6,8,4,"395","43","10",1,"115",26,"146",11,"138",23,"79",20,"214","56","26"
"362","Hertfordshire","2014","may",2014-05-01,2,0,"146","47","10",3,"21",3,8,5,"198","26","17",1,"43",3,"88",10,"62",19,"21",10,"155","31","10"
"363","Humberside","2014","may",2014-05-01,0,0,"135","26","18",10,"48",5,5,4,"280","22","10",3,"43",5,"73",1,"71",2,"24",4,"159","16","12"
"364","Kent","2014","may",2014-05-01,14,1,"178","43","28",7,"52",5,13,0,"287","31","25",5,"51",9,"88",11,"56",5,"117",20,"171","22","37"
"365","Lancashire","2014","may",2014-05-01,1,0,"293","88","25",8,"56",8,16,6,"301","29","16",0,"102",18,"99",6,"192",15,"121",8,"255","50","26"
"366","Leicestershire","2014","may",2014-05-01,0,0,"194","44","14",4,"28",2,4,4,"155","9","24",6,"30",6,"37",4,"52",6,"10",5,"150","22","5"
"367","Lincolnshire","2014","may",2014-05-01,0,0,"83","25","7",4,"25",0,0,0,"120","9","3",0,"22",2,"17",2,"47",13,"23",2,"106","28","9"
"368","Merseyside","2014","may",2014-05-01,2,0,"252","71","21",5,"36",4,23,10,"272","26","14",2,"65",6,"264",5,"84",19,"157",23,"208","29","15"
"369","Metropolitan and City","2014","may",2014-05-01,29,11,"1,126","499","127",62,"212",67,179,35,"1,254","144","215",30,"301",56,"1,134",59,"669",159,"453",88,"1,348","351","176"
"370","Norfolk","2014","may",2014-05-01,0,0,"133","38","15",2,"18",3,8,0,"122","11","6",2,"38",3,"66",2,"84",13,"54",7,"98","15","9"
"371","Northamptonshire","2014","may",2014-05-01,0,0,"92","42","7",4,"16",2,9,0,"100","20","8",3,"19",9,"38",6,"41",3,"13",5,"99","9","11"
"372","Northumbria","2014","may",2014-05-01,0,0,"253","126","15",15,"69",5,11,2,"504","85","27",6,"100",35,"132",27,"119",35,"193",48,"226","57","16"
"373","North Wales","2014","may",2014-05-01,0,0,"93","13","15",6,"18",5,3,0,"140","8","7",1,"35",1,"39",2,"43",7,"83",2,"300","16","4"
"374","North Yorkshire","2014","may",2014-05-01,1,0,"110","12","4",1,"20",2,3,1,"132","9","8",0,"42",5,"40",6,"80",11,"21",7,"110","8","5"
"375","Nottinghamshire","2014","may",2014-05-01,6,5,"199","67","8",9,"47",7,12,4,"222","17","16",4,"48",9,"90",5,"66",23,"66",10,"160","18","9"
"376","South Wales","2014","may",2014-05-01,1,0,"281","91","22",7,"50",7,13,8,"316","13","18",1,"81",12,"163",6,"200",17,"66",10,"653","77","14"
"377","South Yorkshire","2014","may",2014-05-01,0,0,"199","52","6",4,"33",4,6,4,"351","27","8",3,"77",4,"94",2,"125",9,"39",5,"188","18","11"
"378","Staffordshire","2014","may",2014-05-01,1,0,"150","60","9",4,"32",4,6,7,"182","22","9",4,"46",10,"65",4,"92",25,"43",7,"134","35","7"
"379","Suffolk","2014","may",2014-05-01,0,0,"106","27","10",1,"5",0,3,2,"88","4","4",2,"30",0,"42",2,"67",2,"15",4,"65","9","1"
"380","Surrey","2014","may",2014-05-01,0,0,"81","30","10",9,"28",6,5,0,"109","15","17",2,"31",6,"90",5,"42",5,"55",16,"128","22","10"
"381","Sussex","2014","may",2014-05-01,1,0,"162","69","26",13,"25",8,7,3,"219","31","22",0,"46",11,"83",10,"83",22,"67",17,"173","25","16"
"382","Thames Valley","2014","may",2014-05-01,1,0,"294","138","26",8,"48",14,20,4,"409","61","22",7,"59",14,"148",29,"169",38,"46",12,"551","85","40"
"383","Warwickshire","2014","may",2014-05-01,0,0,"50","10","3",2,"9",2,1,1,"59","2","0",1,"23",1,"16",1,"19",7,"17",6,"124","10","4"
"384","West Mercia","2014","may",2014-05-01,1,0,"172","38","19",3,"37",9,4,8,"194","11","10",8,"37",6,"61",6,"73",11,"26",5,"187","31","7"
"385","West Midlands","2014","may",2014-05-01,1,0,"434","175","29",15,"97",14,37,21,"534","52","33",11,"103",23,"202",21,"111",28,"123",39,"294","43","33"
"386","West Yorkshire","2014","may",2014-05-01,1,0,"370","91","39",12,"80",11,17,10,"434","42","19",1,"83",28,"112",9,"144",30,"61",4,"271","41","18"
"387","Wiltshire","2014","may",2014-05-01,0,0,"98","21","5",3,"9",3,5,6,"93","13","9",2,"18",4,"37",2,"25",5,"19",8,"98","5","8"
"259","National","2014","june",2014-06-01,61,18,"8,444","2,927","778",311,"1,467",277,512,132,"9,938","947","708",110,"2,466",436,"4,563",311,"4,023",712,"2,743",547,"8,407","1,361","664"
"260","Avon and Somerset","2014","june",2014-06-01,3,4,"231","70","25",11,"34",7,4,2,"259","17","17",2,"62",13,"125",9,"69",10,"71",9,"189","41","26"
"261","Bedfordshire","2014","june",2014-06-01,1,0,"57","22","1",5,"10",0,5,1,"97","9","7",1,"15",4,"44",3,"28",3,"18",2,"65","9","7"
"262","Cambridgeshire","2014","june",2014-06-01,0,0,"111","27","5",1,"11",1,8,0,"108","4","18",1,"19",2,"38",0,"55",2,"13",3,"92","8","7"
"263","Cheshire","2014","june",2014-06-01,1,0,"183","50","15",1,"35",7,6,1,"223","9","9",1,"40",5,"82",9,"89",5,"57",4,"171","14","5"
"264","Cleveland","2014","june",2014-06-01,3,0,"84","28","19",4,"39",5,4,2,"245","28","9",0,"41",5,"57",1,"99",35,"21",10,"174","10","1"
"265","Cumbria","2014","june",2014-06-01,1,0,"90","12","6",0,"14",0,3,1,"100","8","5",0,"38",4,"46",2,"32",3,"82",5,"85","7","9"
"266","Derbyshire","2014","june",2014-06-01,0,0,"117","47","11",2,"13",3,8,1,"180","19","7",0,"40",6,"65",9,"41",8,"37",12,"129","15","7"
"267","Devon and Cornwall","2014","june",2014-06-01,1,0,"147","62","12",1,"26",7,4,2,"145","15","16",3,"52",15,"89",3,"81",12,"54",14,"154","25","12"
"268","Dorset","2014","june",2014-06-01,0,0,"98","15","11",3,"14",1,2,0,"128","5","6",0,"30",4,"24",1,"51",6,"23",2,"88","8","10"
"269","Durham","2014","june",2014-06-01,0,0,"84","24","14",3,"17",3,3,0,"153","14","1",1,"35",5,"29",2,"62",8,"22",5,"80","7","1"
"270","Dyfed Powys","2014","june",2014-06-01,0,0,"66","16","3",0,"11",0,2,2,"53","4","0",1,"21",6,"84",4,"34",10,"10",3,"178","15","2"
"271","Essex","2014","june",2014-06-01,0,0,"260","66","28",13,"31",2,8,2,"257","17","17",1,"69",12,"73",4,"94",13,"47",10,"222","30","10"
"272","Gloucestershire","2014","june",2014-06-01,0,0,"52","16","5",0,"6",2,2,0,"85","9","5",0,"15",2,"18",1,"14",4,"17",5,"58","2","14"
"273","GreaterManchester","2014","june",2014-06-01,1,0,"547","162","49",33,"87",8,35,2,"478","34","44",7,"201",27,"225",21,"273",38,"125",43,"350","60","34"
"274","Gwent","2014","june",2014-06-01,3,1,"62","19","5",2,"17",8,0,1,"94","5","2",1,"27",7,"52",1,"55",6,"17",8,"66","6","4"
"275","Hampshire","2014","june",2014-06-01,0,0,"305","108","23",17,"32",4,6,1,"295","24","16",3,"74",20,"102",15,"110",14,"63",13,"195","38","15"
"276","Hertfordshire","2014","june",2014-06-01,0,0,"163","42","16",8,"18",6,10,3,"190","23","16",7,"33",4,"77",4,"53",13,"15",2,"143","33","8"
"277","Humberside","2014","june",2014-06-01,2,0,"200","20","18",9,"31",1,6,1,"192","12","11",0,"52",5,"53",1,"90",2,"39",7,"92","6","10"
"278","Kent","2014","june",2014-06-01,0,1,"248","107","23",7,"55",7,15,3,"352","55","19",1,"94",23,"135",6,"86",9,"120",55,"215","24","28"
"279","Lancashire","2014","june",2014-06-01,0,0,"264","102","26",14,"72",11,14,1,"350","24","17",2,"119",23,"144",9,"173",19,"146",17,"281","57","11"
"280","Leicestershire","2014","june",2014-06-01,0,0,"162","33","6",2,"27",5,6,5,"138","26","6",0,"50",3,"31",5,"86",15,"15",2,"142","17","8"
"281","Lincolnshire","2014","june",2014-06-01,0,0,"80","19","5",2,"27",0,3,0,"105","17","8",0,"13",3,"30",0,"43",13,"6",1,"119","23","2"
"282","Merseyside","2014","june",2014-06-01,1,1,"265","80","23",5,"37",2,20,1,"296","22","17",7,"54",9,"285",13,"183",24,"181",22,"250","35","16"
"283","Metropolitan and City","2014","june",2014-06-01,13,6,"1,252","594","125",58,"226",66,174,56,"1,356","172","204",29,"303",62,"1,102",68,"697",134,"496",112,"1,404","395","189"
"284","Norfolk","2014","june",2014-06-01,0,0,"210","46","15",5,"19",3,3,0,"164","15","9",3,"65",7,"71",5,"112",10,"17",7,"101","9","13"
"285","Northamptonshire","2014","june",2014-06-01,0,0,"95","27","10",1,"11",3,6,0,"82","16","8",0,"18",10,"21",5,"33",14,"19",2,"96","12","13"
"286","Northumbria","2014","june",2014-06-01,1,0,"257","117","22",7,"59",9,6,7,"446","73","20",7,"91",17,"122",13,"103",53,"202",41,"233","44","6"
"287","North Wales","2014","june",2014-06-01,0,0,"131","32","6",8,"17",6,2,1,"191","7","6",1,"64",4,"44",1,"63",13,"119",13,"273","23","5"
"288","North Yorkshire","2014","june",2014-06-01,1,0,"129","19","2",1,"28",6,3,0,"167","14","17",3,"44",2,"43",1,"93",10,"26",5,"123","8","13"
"289","Nottinghamshire","2014","june",2014-06-01,13,0,"163","54","13",7,"30",4,9,3,"221","16","4",0,"46",11,"102",10,"72",10,"54",11,"127","17","9"
"290","South Wales","2014","june",2014-06-01,1,0,"242","93","18",12,"37",5,15,2,"296","14","6",4,"79",3,"122",11,"133",22,"54",7,"556","43","12"
"291","South Yorkshire","2014","june",2014-06-01,0,1,"195","82","11",5,"53",6,6,0,"332","19","16",3,"55",11,"94",2,"96",18,"52",9,"145","34","10"
"292","Staffordshire","2014","june",2014-06-01,0,0,"156","61","10",6,"29",12,5,0,"167","26","10",4,"51",18,"69",5,"76",26,"35",6,"116","16","8"
"293","Suffolk","2014","june",2014-06-01,0,0,"158","25","6",1,"10",4,2,1,"133","5","5",0,"49",0,"52",1,"74",4,"23",0,"94","12","7"
"294","Surrey","2014","june",2014-06-01,0,0,"97","55","8",6,"13",4,6,0,"107","16","12",3,"32",11,"84",11,"40",19,"71",8,"158","27","5"
"295","Sussex","2014","june",2014-06-01,0,0,"186","64","29",11,"38",6,6,2,"236","27","27",2,"50",11,"98",6,"63",21,"53",13,"197","17","13"
"296","Thames Valley","2014","june",2014-06-01,7,4,"302","114","38",13,"53",10,12,1,"336","33","15",3,"59",14,"180",16,"123",26,"27",11,"335","53","30"
"297","Warwickshire","2014","june",2014-06-01,2,0,"49","9","2",4,"8",2,4,2,"69","4","2",3,"18",6,"14",1,"11",1,"25",1,"69","30","8"
"298","West Mercia","2014","june",2014-06-01,1,0,"143","41","15",2,"29",2,8,0,"140","15","16",1,"39",3,"56",1,"64",6,"38",5,"180","18","6"
"299","West Midlands","2014","june",2014-06-01,2,0,"385","208","48",13,"55",29,49,14,"497","32","37",2,"96",19,"221",20,"144",29,"159",21,"324","56","36"
"300","West Yorkshire","2014","june",2014-06-01,3,0,"356","112","46",7,"85",9,19,9,"402","35","19",3,"86",15,"126",10,"112",19,"49",14,"268","39","27"
"301","Wiltshire","2014","june",2014-06-01,0,0,"62","27","5",1,"3",1,3,2,"73","8","2",0,"27",5,"34",1,"13",5,"25",7,"70","18","7"
"216","National","2014","july",2014-07-01,80,26,"9,662","3,280","900",374,"1,679",302,650,184,"10,922","1,011","785",143,"2,645",491,"4,890",301,"4,586",742,"2,799",551,"9,117","1,463","795"
"217","Avon and Somerset","2014","july",2014-07-01,1,0,"289","56","54",21,"55",1,10,5,"358","29","25",3,"70",9,"124",2,"112",21,"93",12,"219","56","44"
"218","Bedfordshire","2014","july",2014-07-01,3,1,"87","32","5",6,"25",2,11,3,"67","6","4",0,"17",3,"28",1,"29",5,"13",2,"54","5","14"
"219","Cambridgeshire","2014","july",2014-07-01,0,0,"115","29","4",3,"10",4,1,1,"110","10","5",1,"22",3,"28",0,"56",4,"14",2,"75","6","8"
"220","Cheshire","2014","july",2014-07-01,1,0,"195","54","17",4,"20",1,6,0,"214","7","11",1,"41",9,"67",3,"81",6,"48",3,"143","16","13"
"221","Cleveland","2014","july",2014-07-01,0,0,"130","50","7",7,"44",5,12,3,"278","34","10",0,"41",7,"58",6,"112",38,"19",5,"105","15","3"
"222","Cumbria","2014","july",2014-07-01,0,0,"108","15","10",1,"7",4,2,0,"96","1","5",0,"36",2,"41",0,"59",2,"44",6,"87","11","2"
"223","Derbyshire","2014","july",2014-07-01,2,0,"184","59","14",2,"45",3,9,1,"178","21","19",4,"47",11,"52",5,"53",10,"33",7,"158","22","6"
"224","Devon and Cornwall","2014","july",2014-07-01,2,0,"157","53","9",1,"29",7,5,0,"179","7","13",4,"68",12,"69",3,"66",10,"70",19,"155","15","11"
"225","Dorset","2014","july",2014-07-01,0,0,"114","38","7",3,"25",5,6,1,"111","6","9",0,"32",6,"38",2,"40",7,"23",6,"103","9","22"
"226","Durham","2014","july",2014-07-01,0,0,"120","25","13",3,"21",5,5,1,"167","17","9",3,"36",14,"34",2,"67",11,"16",3,"76","7","3"
"227","Dyfed Powys","2014","july",2014-07-01,0,0,"72","22","9",1,"16",4,0,0,"57","4","3",0,"28",6,"84",2,"54",10,"33",3,"209","22","1"
"228","Essex","2014","july",2014-07-01,0,0,"293","62","24",14,"46",7,9,4,"259","13","26",2,"78",13,"86",4,"84",11,"61",12,"201","19","13"
"229","Gloucestershire","2014","july",2014-07-01,1,0,"81","20","5",0,"15",2,1,0,"101","10","8",0,"18",4,"44",3,"17",2,"24",3,"73","9","21"
"230","GreaterManchester","2014","july",2014-07-01,3,0,"668","180","64",22,"96",18,26,4,"513","35","34",0,"211",20,"218",14,"307",35,"125",23,"386","45","52"
"231","Gwent","2014","july",2014-07-01,1,0,"97","20","10",4,"26",3,5,2,"117","7","6",1,"56",9,"51",4,"69",15,"19",3,"81","17","3"
"232","Hampshire","2014","july",2014-07-01,4,2,"350","127","28",8,"35",11,21,8,"336","39","18",9,"104",21,"138",5,"100",24,"73",16,"277","40","26"
"233","Hertfordshire","2014","july",2014-07-01,1,1,"147","35","8",6,"33",9,5,2,"152","17","32",16,"32",9,"75",4,"58",14,"19",4,"140","25","11"
"234","Humberside","2014","july",2014-07-01,1,0,"236","33","29",10,"35",2,10,1,"290","30","22",4,"54",8,"80",4,"138",7,"25",3,"119","18","12"
"235","Kent","2014","july",2014-07-01,4,2,"240","78","28",8,"51",8,12,2,"331","42","23",4,"98",14,"135",5,"79",18,"123",36,"190","26","32"
"236","Lancashire","2014","july",2014-07-01,3,0,"341","115","33",20,"50",14,24,0,"414","15","16",1,"114",27,"130",6,"224",19,"138",19,"249","55","16"
"237","Leicestershire","2014","july",2014-07-01,0,0,"163","33","11",1,"24",8,6,0,"160","15","17",4,"36",4,"39",0,"60",10,"13",3,"122","18","8"
"238","Lincolnshire","2014","july",2014-07-01,3,0,"125","50","11",3,"19",2,5,3,"155","15","10",1,"28",7,"49",2,"71",10,"16",8,"154","31","11"
"239","Merseyside","2014","july",2014-07-01,9,0,"223","70","27",4,"33",6,17,3,"328","22","15",2,"59",15,"314",18,"123",22,"162",16,"215","35","19"
"240","Metropolitan and City","2014","july",2014-07-01,10,9,"1,322","601","141",81,"262",52,209,61,"1,411","155","206",44,"312",49,"1,115",75,"724",125,"551",118,"1,464","404","174"
"241","Norfolk","2014","july",2014-07-01,2,2,"196","62","10",3,"14",5,8,1,"138","19","7",1,"38",8,"80",0,"113",12,"15",5,"103","14","7"
"242","Northamptonshire","2014","july",2014-07-01,0,0,"117","52","8",3,"15",8,8,2,"106","19","9",5,"20",10,"37",3,"39",10,"15",2,"131","10","7"
"243","Northumbria","2014","july",2014-07-01,1,0,"293","128","34",7,"70",10,17,5,"473","59","29",6,"106",35,"125",19,"159",54,"147",24,"235","40","17"
"244","North Wales","2014","july",2014-07-01,1,0,"96","39","12",10,"18",5,5,4,"165","6","7",1,"41",2,"30",1,"57",4,"99",13,"100","12","11"
"245","North Yorkshire","2014","july",2014-07-01,2,0,"125","26","7",0,"23",1,3,2,"142","22","8",0,"29",6,"48",5,"106",10,"34",4,"108","16","7"
"246","Nottinghamshire","2014","july",2014-07-01,7,1,"253","93","23",9,"35",7,26,4,"256","29","11",2,"48",19,"140",14,"91",13,"45",12,"161","21","31"
"247","South Wales","2014","july",2014-07-01,1,0,"310","126","16",14,"46",3,7,8,"334","17","8",1,"95",15,"177",7,"218",22,"56",13,"1231","61","9"
"248","South Yorkshire","2014","july",2014-07-01,4,0,"266","92","14",3,"49",16,18,5,"432","35","21",1,"63",13,"170",4,"80",15,"47",6,"164","11","16"
"249","Staffordshire","2014","july",2014-07-01,1,0,"188","78","12",3,"29",6,4,4,"185","17","9",1,"35",14,"66",3,"103",18,"40",8,"118","32","7"
"250","Suffolk","2014","july",2014-07-01,1,0,"158","25","8",1,"16",1,5,1,"116","7","12",0,"35",2,"54",2,"63",5,"8",4,"93","11","6"
"251","Surrey","2014","july",2014-07-01,0,0,"115","64","12",4,"23",0,7,1,"129","19","17",1,"29",9,"72",8,"50",8,"50",22,"120","33","23"
"252","Sussex","2014","july",2014-07-01,0,0,"250","83","23",15,"37",6,10,2,"281","18","13",0,"44",16,"95",5,"83",20,"109",26,"232","37","17"
"253","Thames Valley","2014","july",2014-07-01,3,0,"252","136","23",13,"44",10,11,8,"332","26","15",3,"80",7,"145",10,"149",25,"33",7,"297","45","53"
"254","Warwickshire","2014","july",2014-07-01,0,0,"63","16","9",4,"16",3,0,0,"92","4","7",0,"16",0,"28",1,"20",9,"15",5,"76","17","3"
"255","West Mercia","2014","july",2014-07-01,0,0,"158","50","27",5,"30",5,16,4,"185","16","9",1,"52",4,"60",5,"86",13,"33",1,"189","31","3"
"256","West Midlands","2014","july",2014-07-01,2,4,"478","203","42",22,"101",26,58,26,"636","80","26",7,"128",24,"233",24,"165",42,"211",45,"326","87","14"
"257","West Yorkshire","2014","july",2014-07-01,6,4,"394","122","45",23,"84",7,20,1,"460","51","27",9,"111",19,"182",18,"195",22,"57",15,"287","48","32"
"258","Wiltshire","2014","july",2014-07-01,0,0,"93","28","7",2,"7",0,10,1,"78","10","4",0,"37",6,"51",2,"26",4,"30",7,"91","11","7"
"44","National","2014","august",2014-08-01,45,14,"8,342","2,833","739",290,"1,524",247,484,140,"9,119","966","672",132,"2,310",426,"4,097",289,"3,950",667,"2,465",454,"7,141","1,294","736"
"45","Avon and Somerset","2014","august",2014-08-01,2,1,"165","52","33",7,"37",3,9,1,"234","19","13",1,"59",7,"95",6,"101",14,"87",9,"158","38","17"
"46","Bedfordshire","2014","august",2014-08-01,3,3,"80","36","4",2,"7",5,13,1,"90","9","5",1,"19",2,"34",0,"39",8,"4",2,"50","14","18"
"47","Cambridgeshire","2014","august",2014-08-01,2,0,"87","19","7",4,"13",3,4,0,"91","12","6",0,"29",3,"24",0,"48",5,"11",1,"74","5","9"
